NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
JAPON,118895.33,TEQUILA 100% DE AGAVE,68630.33,REPOSADO,18340.1,2022,8
ALEMANIA,550871.29,TEQUILA,549413.29,JOVEN,46391.86,2005,5
CHINA,77816.94,TEQUILA 100% DE AGAVE,29336.94,REPOSADO,10744.47,2021,8
BAHAMAS,9293.85,TEQUILA 100% DE AGAVE,416.25,REPOSADO,360.0,2018,6
JAPON,127297.31,TEQUILA,115818.75,REPOSADO,60786.0,2015,4
JAPON,49039.2,TEQUILA,20664.0,BLANCO,11880.0,2022,2
EMIRATOS ARABES UNIDOS,53862.0,TEQUILA 100% DE AGAVE,2814.0,AÑEJO,1035.0,2009,4
LETONIA,10760.98,TEQUILA 100% DE AGAVE,1557.0,AÑEJO,519.0,2005,6
TURQUIA,56612.85,TEQUILA 100% DE AGAVE,23261.7,REPOSADO,12612.39,2022,11
ESPAÑA,202503.25,TEQUILA,198513.25,REPOSADO,34473.6,2011,1
ESTADOS UNIDOS DE AMERICA,12473124.73,TEQUILA,6949426.87,JOVEN,4678013.36,2012,5
ESPAÑA,111174.06,TEQUILA,108864.06,BLANCO,60180.35,2002,5
BRASIL,76063.5,TEQUILA,63710.1,JOVEN,6660.0,2017,10
HONG KONG,5802.57,TEQUILA 100% DE AGAVE,807.57,EXTRA AÑEJO,56.25,2018,12
PANAMA,30946.8,TEQUILA 100% DE AGAVE,15774.0,EXTRA AÑEJO,902.98,2024,6
ISLAS VIRGENES NORTEAMERICANAS,337.5,TEQUILA 100% DE AGAVE,337.5,EXTRA AÑEJO,67.5,2024,1
COSTA RICA,29394.99,TEQUILA,25088.49,REPOSADO,8248.28,2011,2
AUSTRALIA,50239.85,TEQUILA 100% DE AGAVE,13.5,REPOSADO,4.5,2006,3
PANAMA,87665.25,TEQUILA,60871.5,REPOSADO,36294.75,2015,12
RUSIA,228562.64,TEQUILA 100% DE AGAVE,70217.7,AÑEJO,2666.1,2012,10
HONG KONG,17680.38,TEQUILA 100% DE AGAVE,400.38,AÑEJO,166.38,2008,12
AUSTRIA,20787.88,TEQUILA 100% DE AGAVE,897.74,AÑEJO,778.04,2001,2
TAIWAN,16901.55,TEQUILA 100% DE AGAVE,2016.0,BLANCO,864.0,2020,10
REPUBLICA CHECA,8873.76,TEQUILA 100% DE AGAVE,8873.76,AÑEJO,79.8,2013,5
REPUBLICA DOMINICANA,7787.26,TEQUILA,7524.0,REPOSADO,990.0,2002,11
SINGAPUR,172161.91,TEQUILA,136265.76,BLANCO,9313.92,2017,5
PANAMA,105026.05,TEQUILA,55857.0,JOVEN,6840.0,2013,1
ALEMANIA,323381.89,TEQUILA,323222.3,JOVEN,7296.0,2001,3
PUERTO RICO,27643.5,TEQUILA,13680.0,BLANCO,10152.0,2022,6
EL SALVADOR,49885.05,TEQUILA,16048.8,REPOSADO,9028.8,2023,3
NIGERIA,23824.13,TEQUILA 100% DE AGAVE,3096.0,REPOSADO,1746.0,2024,5
SINGAPUR,57005.16,TEQUILA,17763.66,BLANCO,17763.66,2020,10
ITALIA,65727.41,TEQUILA 100% DE AGAVE,5003.6,AÑEJO,83.3,2011,2
JAPON,92520.0,TEQUILA,89100.0,BLANCO,55800.0,2000,8
BRASIL,152378.15,TEQUILA,148590.0,BLANCO,40224.3,2010,9
PAISES BAJOS,289611.84,TEQUILA,203725.4,BLANCO,151422.2,2022,8
ALEMANIA,563775.12,TEQUILA,548383.37,REPOSADO,125208.78,2024,3
PANAMA,46609.23,TEQUILA,41870.4,JOVEN,5745.6,2006,12
GUAM EUA,9522.0,TEQUILA 100% DE AGAVE,2178.0,REPOSADO,1440.0,2012,9
